time,neuron_a_priority,neuron_b_priority,avg_novelty,alert_level,avg_energy,total_firing
131,1.019,1.042,0.015,0.001,44.16,22
132,1.034,1.036,0.022,0.001,42.29,26
133,1.043,1.016,0.024,0.001,40.91,22
134,1.016,1.014,0.022,0.001,40.56,13
135,1.014,1.013,0.017,0.001,41.43,2
136,1.013,1.012,0.012,0.001,42.40,1
137,1.011,1.018,0.011,0.001,42.55,8
138,1.018,1.041,0.014,0.001,41.02,23
139,1.034,1.036,0.022,0.001,39.09,27
140,1.043,1.015,0.025,0.001,38.09,19
141,1.015,1.013,0.021,0.001,37.67,14
142,1.014,1.012,0.017,0.001,38.60,2
143,1.012,1.011,0.012,0.001,39.62,1
144,1.011,1.018,0.010,0.001,39.61,10
145,1.018,1.041,0.015,0.001,38.13,23
146,1.033,1.036,0.022,0.001,36.46,25
147,1.043,1.015,0.024,0.001,35.38,20
148,1.015,1.013,0.021,0.001,35.12,13
149,1.013,1.012,0.017,0.001,35.88,4
